Title,Slug,Operator,Itinerary-Operator-URL,Itinerary Cover,Itinerary Specific,Map,Days,Antarctica Activities,Destinations,Departure Port,Return Port,Sailings,Tag 1 (Popular),Tag 1,Tag 2 (Special offer),Tag 2,Itinerary Details,Gallery image 1,Gallery image 2,Gallery image 3,Gallery image 4,Gallery image 5,Gallery image 6,Gallery image 7,Gallery image 8,Meta Description
Wild Antarctica featuring the Weddell Sea: In Partnership with New Scientist Discovery Tours,wild-antarctica-featuring-the-weddell-sea-new-scientist-discovery-tours,aurora-expeditions,https://www.aurora-expeditions.com/expedition/wild-antarctica/,,,https://framerusercontent.com/images/KzvYa2SvoyJJ2YbFbdfvTz8x8eU.jpg,13,"polar-plunge,zodiac-ride,hiking,photography","antarctica-peninsula,deception-island,south-georgia-islands,ross-sea",punta-arenas,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Join New Scientist Discovery Tours and Aurora Expeditions on an amazing adventure to the Weddell Sea. Experience the wild beauty of Antarctica, with expert guides and a comfortable ship. Book your journey now."
Antarctic Women's Expedition: Fly the Drake,antarctic-womens-expedition-fly-the-drake,aurora-expeditions,https://www.auroraexpeditions.com.au/expedition/womens-expedition-fly-the-drake/,,,https://framerusercontent.com/images/Y2QdUcCXYtCOB4ywkf4GoVitFI.jpg,10,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,punta-arenas,punta-arenas,,FALSE,,FALSE,,,,,,,,,,,Join the Antarctic Women's Expedition: Fly the Drake by Aurora Expeditions. Explore Antarctica with a group of inspiring women. Experience the beauty and wonder of the Drake Passage. Book now for an unforgettable adventure.
Taste of Antarctica,taste-of-antarctica,aurora-expeditions,https://www.aurora-expeditions.com/expedition/taste-of-antarctica/,,,https://framerusercontent.com/images/iZaia0kZtPBtahgwQvC2UN5rIw.jpg,10,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on a thrilling adventure with Taste of Antarctica expedition organized by Aurora Expeditions. Discover the stunning beauty of the icy landscapes and wildlife of the southernmost continent.
Spirit of Antarctica: In Partnership with New Scientist Discovery Tours,spirit-of-antarctica-new-scientist-discovery-tours,aurora-expeditions,https://www.aurora-expeditions.com/expedition/spirit-of-antarctica-new-scientist/,,,https://framerusercontent.com/images/JONzMtwMO55AtRxRxD2LDWIYczM.jpg,12,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on the Spirit of Antarctica expedition, organized by Aurora Expeditions in partnership with New Scientist Discovery Tours. Explore the wonders of Antarctica with expert guidance."
Antarctic Peninsula: Fly the Drake,antarctic-peninsula-fly-the-drake,aurora-expeditions,https://www.auroraexpeditions.com.au/expedition/antarctic-peninsula-fly-the-drake/,,,https://framerusercontent.com/images/iQE9XIdBxzB6YtZvOTEpCJCIVQg.jpg,12,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,king-george-island,king-george-island,,FALSE,,FALSE,,,,,,,,,,,"Explore the pristine beauty of Antarctica on the Antarctic Peninsula: Fly the Drake expedition by Aurora Expeditions. Immerse yourself in a breathtaking icy landscape, witness incredible wildlife, and experience the thrill of flying across the Drake Passage. Embark on a truly unforgettable adventure to the White Continent."
Epic Antarctica: Crossing the 7th Continent,epic-antarctica-crossing-the-7th-continent,aurora-expeditions,https://www.auroraexpeditions.com.au/expedition/epic-antarctica-crossing-the-7th-continent/,,,https://framerusercontent.com/images/iiDqGeFBw7GvfZmGUntLmxkA.jpg,34,"polar-plunge,zodiac-ride,hiking,photography","antarctica-peninsula,ross-sea,lemaire-channel,macquarie-island,auckland-islands",dunedin,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on the Epic Antarctica expedition with Aurora Expeditions. Explore the 7th Continent and discover the wonders of this remarkable icy wilderness. Join us for an unforgettable adventure.
Ross Sea Odyssey,ross-sea-odyssey,aurora-expeditions,https://www.aurora-expeditions.com/expedition/ross-sea-odyssey/,,,https://framerusercontent.com/images/jTyo0Vef9JBQvGcU8GXAB8B3SM.jpg,25,"polar-plunge,zodiac-ride,hiking,photography","macquarie-island,auckland-islands,campbell-island,terra-nova-bay,cape-hallet",dunedin,dunedin,,FALSE,,FALSE,,,,,,,,,,,"Embark on a thrilling Ross Sea Odyssey with Aurora Expeditions and explore the mesmerizing beauty of Antarctica. Enjoy stunning views of icebergs, glaciers, and diverse wildlife in their natural habitat."
Antarctica Active: All Inclusive Activities,antarctica-active-all-inclusive-activities,aurora-expeditions,https://www.aurora-expeditions.com/expedition/antarctica-active-all-inclusive-activities/,,,https://framerusercontent.com/images/CCSb89w6zUSyOZtctAvM20EcXoE.jpg,15,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Antarctica Active: All-Inclusive Adventure with Aurora Expeditions. Experience the Best of the Seventh Continent with Hiking, Kayaking, and Camping. Book Now!"
Mawson's Antarctica,mawsons-antarctica,aurora-expeditions,https://www.aurora-expeditions.com/expedition/mawsons-antarctica/,,,https://framerusercontent.com/images/nQ7rxY1DLnD5pEPhivTt5mGyS4.jpg,24,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Join Aurora Expeditions on Mawson's Antarctica expedition and explore the icy landscapes of the frozen continent. Witness mesmerising vistas and observe unique wildlife in their natural habitat.
Spirit of Antarctica featuring the Chilean Fjords,spirit-of-antarctica-featuring-the-chilean-fjords,aurora-expeditions,https://www.auroraexpeditions.com.au/expedition/spirit-of-antarctica-chilean-fjords/,,,https://framerusercontent.com/images/JONzMtwMO55AtRxRxD2LDWIYczM.jpg,13,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,punta-arenas,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on an awe-inspiring adventure with Spirit of Antarctica featuring the Chilean Fjords expedition organized by Aurora Expeditions. Discover the stunning beauty of Antarctica and the breathtaking Chilean Fjords up close and personal.
In Shackleton's Footsteps,in-shackletons-footsteps,aurora-expeditions,https://www.aurora-expeditions.com/expedition/in-shackleton-footsteps/,,,https://framerusercontent.com/images/sz4jAZPrwSyPcYgbTxOc3eMegcc.jpg,20,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on an Antarctic expedition retracing the steps of legendary explorer Shackleton with Aurora Expeditions. Unforgettable adventure awaits.
South Georgia & Antarctic Odyssey featuring the South Sandwich Islands,south-georgia-antarctic-odyssey-featuring-south-sandwich-islands,aurora-expeditions,https://www.aurora-expeditions.com/expedition/south-georgia-antarctic-odyssey/,,,https://framerusercontent.com/images/Adt7685qYeQaWkatVGmCnDgFY.jpg,21,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on an unforgettable South Georgia & Antarctic Odyssey with Aurora Expeditions, featuring the rarely visited South Sandwich Islands. Discover diverse wildlife and stunning landscapes in one of the world's most remote destinations."
South Georgia & Antarctic Odyssey featuring the South Sandwich Islands (Punta Arenas Return Flight),south-georgia-antarctic-odyssey-featuring-south-sandwich-islands-PUQ-fly-return,aurora-expeditions,https://www.aurora-expeditions.com/expedition/south-georgia-antarctic-odyssey/,,,,20,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,punta-arenas,,FALSE,,FALSE,,,,,,,,,,,"Embark on an unforgettable South Georgia & Antarctic Odyssey with Aurora Expeditions, featuring the rarely visited South Sandwich Islands. Discover diverse wildlife and stunning landscapes in one of the world's most remote destinations, with the extra benefit of having your return via air by flying back over the drake passage to Punta Arenas, Chile."
Antarctic Explorer Express,antarctic-explorer-express,aurora-expeditions,https://www.auroraexpeditions.com.au/expedition/antarctic-explorer-express/,,,https://framerusercontent.com/images/IgohjbeIWQeDxMNHQn3lxkqSOeA.jpg,9,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,punta-arenas,,FALSE,,FALSE,,,,,,,,,,,"Embark on a thrilling Antarctic Explorer Express expedition with Aurora Expeditions. Discover pristine landscapes, abundant wildlife, and experience the beauty of the world's southernmost continent."
Subantarctic Discovery,subantarctic-discovery,aurora-expeditions,https://www.auroraexpeditions.com.au/expedition/subantarctic-discovery/,,,https://framerusercontent.com/images/QLmBOPdQrMwESJq4Ra5KNKW81g0.jpg,15,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,dunedin,dunedin,,FALSE,,FALSE,,,,,,,,,,,"Join the Subantarctic Discovery expedition by Aurora Expeditions and explore the awe-inspiring region of Antarctica. Discover unique wildlife, stunning landscapes, and experience the thrill of an unforgettable adventure. Book now!"
Antarctica: Through the Lens,antarctica-through-the-lens,aurora-expeditions,https://www.aurora-expeditions.com/expedition/antarctica-through-the-lens/,,,https://framerusercontent.com/images/hYhbxAs4njZzItNTEXGPLa2unU.jpg,12,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Explore the stunning beauty of Antarctica on ""Antarctica: Through the Lens"" expedition organized by Aurora Expeditions. Discover the unique wildlife, landscapes and culture of the southernmost continent."
Antarctica Complete,antarctica-complete,aurora-expeditions,https://www.aurora-expeditions.com/expedition/antarctica-complete/,,,https://framerusercontent.com/images/zCB6hXl0IST38ILxGsEirVVo.jpg,23,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Explore the extreme beauty of Antarctica with Aurora Expeditions' Antarctica Complete. Our comprehensive expedition takes you to the highlights of the region, from the South Shetland Islands to the Antarctic Peninsula."
"Falklands, South Georgia & Antarctic Peninsula",falklands-south-georgia-antarctic-peninsula,aurora-expeditions,https://www.aurora-expeditions.com/expedition/south-georgia-antarctic-odyssey/,,,https://framerusercontent.com/images/oSrg0gaxHdUdP1vAND2b9LrTbAI.jpg,23,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on the Falklands, South Georgia & Antarctic Peninsula expedition by Aurora Expeditions. Explore stunning landscapes, encounter diverse wildlife, and witness the beauty of Antarctica firsthand. Join us for an unforgettable adventure."
Spirit of Antarctica,spirit-of-antarctica,aurora-expeditions,https://www.aurora-expeditions.com/expedition/spirit-of-antarctica/,,,https://framerusercontent.com/images/JONzMtwMO55AtRxRxD2LDWIYczM.jpg,12,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on the Spirit of Antarctica expedition with Aurora Expeditions. Witness breathtaking landscapes, encounter magnificent wildlife, and explore the pristine beauty of the icy continent. Join us for an unforgettable adventure."
